REF_AREA;Reference area (TR);FREQ;Frequency of observation (A);INDICATOR;Statistical indicator (NG_ADNKS);IKAMET_YERI;Place of residence (_T);ADNKS_GOSTERGE;ADNKS Indicator (NUFUS);Time period (TIME_PERIOD);Observation;OBS_STATUS;Observation status;TIME_FORMAT;Time format;DECIMAL;Decimals;UNIT_MEASURE;Unit of measure;UNIT_MULT;Unit multiplier
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR213;Kırklareli;NUFUS;Population;2016;351684;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR213;Kırklareli;NUFUS;Population;2017;356050;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR213;Kırklareli;NUFUS;Population;2018;360860;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR213;Kırklareli;NUFUS;Population;2019;361836;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR213;Kırklareli;NUFUS;Population;2020;361737;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR213;Kırklareli;NUFUS;Population;2021;366363;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR213;Kırklareli;NUFUS;Population;2022;369347;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR213;Kırklareli;NUFUS;Population;2023;377156;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR213;Kırklareli;NUFUS;Population;2024;379031;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR213;Kırklareli;NUFUS;Population;2025;379595;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR211;Tekirdağ;NUFUS;Population;2007;728396;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR211;Tekirdağ;NUFUS;Population;2008;770772;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR211;Tekirdağ;NUFUS;Population;2009;783310;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR211;Tekirdağ;NUFUS;Population;2010;798109;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR211;Tekirdağ;NUFUS;Population;2011;829873;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR211;Tekirdağ;NUFUS;Population;2012;852321;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR211;Tekirdağ;NUFUS;Population;2013;874475;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR211;Tekirdağ;NUFUS;Population;2014;906732;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR211;Tekirdağ;NUFUS;Population;2015;937910;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR211;Tekirdağ;NUFUS;Population;2016;972875;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR211;Tekirdağ;NUFUS;Population;2017;1005463;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR211;Tekirdağ;NUFUS;Population;2018;1029927;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR211;Tekirdağ;NUFUS;Population;2019;1055412;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR211;Tekirdağ;NUFUS;Population;2020;1081065;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR211;Tekirdağ;NUFUS;Population;2021;1113400;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR211;Tekirdağ;NUFUS;Population;2022;1142451;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR211;Tekirdağ;NUFUS;Population;2023;1167059;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR211;Tekirdağ;NUFUS;Population;2024;1187162;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR211;Tekirdağ;NUFUS;Population;2025;1208441;;;;;;;;;;
